SnapshotMonth,Rank,FighterID,FighterWeightLimit,TotalFans,Wins,Knockouts,Losses,Draws
2000-01,1,157,112,7237,21,13,0,0
2000-01,2,86,135,7157,24,8,0,0
2000-01,3,111,126,7040,24,6,0,0
2000-01,4,75,140,6983,25,5,0,0
2000-01,5,56,154,6804,21,9,0,0
2000-01,6,3,300,6692,23,8,0,0
2000-01,7,1,300,6569,25,7,0,0
2000-01,8,55,154,6501,23,6,0,0
2000-01,9,35,168,6349,22,8,0,0
2000-02,1,58,154,8372,15,6,0,0
2000-02,2,157,112,8002,22,13,0,0
2000-02,3,124,122,7333,16,6,0,0
2000-02,4,177,105,7227,15,10,0,0
2000-02,5,34,168,7141,24,7,0,0
2000-02,6,111,126,7040,24,6,0,0
2000-02,7,75,140,6983,25,5,0,0
2000-02,8,240,130,6820,23,6,0,0
2000-02,9,3,300,6692,23,8,0,0
2000-03,1,58,154,8372,15,6,0,0
2000-03,2,157,112,8002,22,13,0,0
2000-03,3,75,140,7626,26,5,0,0
2000-03,4,124,122,7333,16,6,0,0
2000-03,5,177,105,7227,15,10,0,0
2000-03,6,34,168,7141,24,7,0,0
2000-03,7,111,126,7040,24,6,0,0
2000-03,8,240,130,6820,23,6,0,0
2000-03,9,3,300,6692,23,8,0,0
2000-04,1,24,175,8434,20,11,0,0
2000-04,2,157,112,8002,22,13,0,0
2000-04,3,58,154,7954,15,6,1,0
2000-04,4,75,140,7626,26,5,0,0
2000-04,5,3,300,7566,24,8,0,0
2000-04,6,173,108,7560,15,5,0,0
2000-04,7,111,126,7352,25,6,0,0
2000-04,8,13,200,7350,19,6,0,0
2000-04,9,124,122,7333,16,6,0,0
